lat,lon,twb
-89.5,-179.375,-27.76242
-89.5,-178.125,-27.738554
-89.5,-176.875,-27.714685
-89.5,-175.625,-27.690819
-89.5,-174.375,-27.66695
-89.5,-173.125,-27.643084
-89.5,-171.875,-27.619217
-89.5,-170.625,-27.595348
-89.5,-169.375,-27.571482
-89.5,-168.125,-27.547615
-89.5,-166.875,-27.523746
-89.5,-165.625,-27.499863
-89.5,-164.375,-27.475996
-89.5,-163.125,-27.452127
-89.5,-161.875,-27.42826
-89.5,-160.625,-27.404394
-89.5,-159.375,-27.380526
-89.5,-158.125,-27.356659
-89.5,-156.875,-27.332792
-89.5,-155.625,-27.308924
-89.5,-154.375,-27.285057
-89.5,-153.125,-27.26119
-89.5,-151.875,-27.23732
-89.5,-150.625,-27.213438
-89.5,-149.375,-27.189571
-89.5,-148.125,-27.165703
-89.5,-146.875,-27.141836
-89.5,-145.625,-27.11797
-89.5,-144.375,-27.0941
-89.5,-143.125,-27.070234
-89.5,-141.875,-27.046368
-89.5,-140.625,-27.0225
-89.5,-139.375,-26.998632
-89.5,-138.125,-26.974766
-89.5,-136.875,-26.950897
-89.5,-135.625,-26.927013
-89.5,-134.375,-26.903147
-89.5,-133.125,-26.87928
-89.5,-131.875,-26.855412
-89.5,-130.625,-26.831545
-89.5,-129.375,-26.807678
-89.5,-128.125,-26.78381
-89.5,-126.875,-26.759943
-89.5,-125.625,-26.736076
-89.5,-124.375,-26.71221
-89.5,-123.125,-26.688341
-89.5,-121.875,-26.664473
-89.5,-120.625,-26.64059
-89.5,-119.375,-26.616722
-89.5,-118.125,-26.592855
-89.5,-116.875,-26.568989
-89.5,-115.625,-26.545122
-89.5,-114.375,-26.521254
-89.5,-113.125,-26.497387
-89.5,-111.875,-26.47352
-89.5,-110.625,-26.449652
-89.5,-109.375,-26.425785
-89.5,-108.125,-26.401917
-89.5,-106.875,-26.37805
-89.5,-105.625,-26.354181
-89.5,-104.375,-26.3303
-89.5,-103.125,-26.306433
-89.5,-101.875,-26.282566
-89.5,-100.625,-26.258698
-89.5,-99.375,-25.961409
-89.5,-98.125,-25.966251
-89.5,-96.875,-25.971107
-89.5,-95.625,-25.975948
-89.5,-94.375,-25.98079
-89.5,-93.125,-25.98563
-89.5,-91.875,-25.99047
